marca;modelo;productos;ejemplos
Stihl;FS 75;3;2909051 2909056 4307680
Stihl;TS 410/420;3;2303003 2324244 2909100
Stihl;0300;2;4307653 4307654
Stihl;036;2;2209025 2220081
Stihl;063;2;2290532 2290534
Stihl;130R;2;2109093 2909072
Stihl;141;2;4307653 4307654
Stihl;2800;2;2220091 4307655
Stihl;310;2;2109093 2220092
Stihl;600;2;2109093 2909072
Stihl;BG 56;2;2109088 2307080
Stihl;BG 65;2;2307081 2909039
Stihl;BG 85;2;2307081 2909039
Stihl;BR 500;2;2109093 2909072
Stihl;BR 500/550;2;2109093 2909072
Stihl;BR 550;2;2109093 2909072
Stihl;BR 600;2;2109093 2909072
Stihl;FS 106;2;2117550 2209028
Stihl;FS 45;2;2909051 4307679
Stihl;FS 500;2;2109207 2117576
Stihl;FS 550;2;2109207 2117576
Stihl;HS 45;2;2109092 2315105
Stihl;MS 026;2;2220100 2220103
Stihl;MS 036;2;2220145 2222036
Stihl;MS 038;2;2203018 2220209
Stihl;MS 260;2;2203045 2210072
Stihl;MS 261;2;2210071 2220101
Stihl;MS 291;2;2203055 2204051
Stihl;MS 360/036;2;2220145 2222036
Stihl;MS 362;2;2215073 2220101
Stihl;MS 381/382;2;2203019 2220126
Stihl;MS 461;2;2203060 2290534
Stihl;MS 660;2;2210062 2220210
Stihl;TS 400;2;2220103 2303002
Stihl;010;1;2909007
Stihl;011;1;2909007
Stihl;020;1;2203055
Stihl;024;1;2212108
Stihl;028;1;2215074
Stihl;029;1;2220081
Stihl;034;1;2209026
Stihl;046;1;2220194
Stihl;056;1;2209205
Stihl;064;1;2209205
Stihl;066;1;2209205
Stihl;070;1;2209215
Stihl;100;1;2109055
Stihl;108;1;2209028
Stihl;111;1;2117590
Stihl;124;1;4307655
Stihl;140;1;4307653
Stihl;143R;1;2220183
Stihl;236;1;2110074
Stihl;260;1;2220191
Stihl;350;1;2209205
Stihl;357;1;2210076
Stihl;359;1;2210076
Stihl;361;1;2220194
Stihl;362;1;2220101
Stihl;365;1;2210075
Stihl;371;1;2220096
Stihl;372;1;2210075
Stihl;400;1;2103198
Stihl;404;1;2212083
Stihl;4137;1;4307655
Stihl;4147;1;4307654
Stihl;420;1;2103198
Stihl;4203;1;2125163
Stihl;4238;1;4307653
Stihl;441;1;2215073
Stihl;461;1;2290534
Stihl;480;1;2125168
Stihl;5903;1;2220101
Stihl;660;1;2220194
Stihl;9022;1;2220096
Stihl;9909;1;2220100
Stihl;9910;1;2220099
Stihl;9930;1;2220102
Stihl;BG 45;1;2307081
Stihl;BG 46;1;2307081
Stihl;BG 50;1;2307081
Stihl;BG 56/86;1;2109088
Stihl;BG 66;1;2307080
Stihl;BR 320;1;2109207
Stihl;BR 320/400;1;2109207
Stihl;BR 400;1;2109207
Stihl;BR 420;1;2109207
Stihl;BR 420/;1;2303004
Stihl;FS 100;1;2109055
Stihl;FS 108;1;2209028
Stihl;FS 310;1;2109092
Stihl;FS 360;1;2109207
Stihl;FS 360/500;1;2109207
Stihl;FS 38/55/;1;2109055
Stihl;FS 38/75/;1;2909056
Stihl;FS 400;1;2125168
Stihl;FS 400/450;1;2125168
Stihl;FS 44;1;2117550
Stihl;FS 45/75/;1;2909051
Stihl;FS 46;1;4307679
Stihl;FS 460;1;4307654
Stihl;FS 480;1;2125168
Stihl;FS 500/550;1;2117576
Stihl;FS 55/56/;1;2117590
Stihl;FS 56;1;2117590
Stihl;FS 70;1;2117590
Stihl;FS 85/106;1;2209028
Stihl;FS 86;1;2117550
Stihl;FS 86/106;1;2117550
Stihl;FS 90;1;2109095
Stihl;FS 94;1;2109107
Stihl;HUS 357;1;2210076
Stihl;HUS 359;1;2210076
Stihl;HUS 365;1;2210075
Stihl;HUS 372;1;2210075
Stihl;MAC 350;1;2209205
Stihl;MAC 971;1;2209205
Stihl;MAC 981;1;2209205
Stihl;MS 017;1;2205022
Stihl;MS 018;1;2205023
Stihl;MS 021;1;2205024
Stihl;MS 023;1;2205025
Stihl;MS 025;1;2205026
Stihl;MS 038/381;1;2220209
Stihl;MS 170/017;1;2205022
Stihl;MS 170/250;1;2210012
Stihl;MS 180/018;1;2205023
Stihl;MS 180/230;1;2210033
Stihl;MS 210/021;1;2205024
Stihl;MS 210/250;1;2209035
Stihl;MS 230/023;1;2205025
Stihl;MS 231;1;2209135
Stihl;MS 231/361;1;2209135
Stihl;MS 240;1;2210072
Stihl;MS 240/260;1;2210072
Stihl;MS 250/025;1;2205026
Stihl;MS 251;1;2204049
Stihl;MS 261/271;1;2220101
Stihl;MS 271;1;2220101
Stihl;MS 290;1;2215083
Stihl;MS 290/360;1;2215083
Stihl;MS 34;1;2209021
Stihl;MS 34/36/;1;2209021
Stihl;MS 36;1;2209021
Stihl;MS 361/362;1;2215073
Stihl;MS 361/380;1;2210031
Stihl;MS 361/381;1;2290534
Stihl;MS 380/038;1;2203018
Stihl;MS 460;1;2210063
Stihl;MS 660/661;1;2220210
Stihl;MS 661;1;2220210
Stihl;SH 55/BG;1;2909051
Stihl;SH 56;1;2307080
Stihl;SH 86;1;2307080
Stihl;SR 420;1;2303004
Stihl;TS 350;1;2202810
Stihl;TS 500I;1;4307653
Toro;TORO 500;1;2109219
Toro;TORO 54;1;2109219
Walbro;526;1;2909225
Zama;FS 450;2;2102839 2102855
Zama;GT 22;1;2102880
Zenoah;6200;1;2921012
